idx|Premise|Hypothesis|label
38518e|We sought to identify practices that were commonly implemented by the agencies within the past 5 years.|We want to identify practices commonly used by agencies in the last 5 years|0
69555e|And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.|Japan's new rulers were catching on quickly.|0
3144e|Fiction has its glories, but concealment is merely squalid.|Hiding things is just dirty, whereas there is glory in fiction|0
59317e|All we've done is checked that the first two creditors divided their collective share of $125 appropriately|The first two creditors divided their shares correctly.|0
57890e|, chief knowledge officers or chief technical officers) that diffuse responsibility across several senior-level managers.|Chief officers often spread their responsibility among senior-level managers. |0
21078e|Traditionally a poor island, the native population has happily embraced the new seasonal lifestyle that has brought them proserity, and the old ways have almost completely disappeared.|The old ways of the native population has almost completely faded away.|0
125485e|but uh what's that|However, what is that?|0
120865e|Tomb 57, that of Khaemhat, was decorated with statues of himself and his family very rare for tombs of his class.|The tomb was decorated with statues.|0
92504e|if a person has done a crime so bad that the jury gives them the death penalty now the Supreme Court says we've got to give them one appeal okay i agree give them one appeal when that appeal fails within thirty days execution of sentence|You are allowed to appeal the death sentence. |0
7842e|But as Mir floated in orbit, the Soviet Union fell apart.|The Mir was launched into orbit by the Soviet Union.|0
72945e|so we took the wiring harness out and the engine and the transmission and everything else and we put it into the the the shell that was burned we had the shell all sandblasted and painted and he he pretty much built me a car so|We transferred the engine and transmission into another body.|0
103893e|Strike a match to see the effect.|If you want to see what happens, strike the match.|0
81745e|But there are different kinds of fishing.|There are different ways to fish.|0
54794e|Rock, Folk, and  The Royal Dublin Society in Ballsbridge holds huge open-air concerts, including rock, folk, and jazz.|There are open-air concerts in Ballsbridge.|0
38848e|Although merger discussions continued among the four programs, in March 2000 two of the programs did not vote in favor of the merger plan, and therefore the plan moved forward with only two  Legal Services Organization of Indiana, Inc. and Legal Services of Northwest Indiana, Inc.|Among the four programs, merger discussions continued and 2 of the programs did not vote in march 2000.|0
86498e|On the other hand, horses of the same combination were the pride of several other families living around Lexington.|Families in Lexington had horses.|0
61918e|Benedykt Ossolinsky, age 39, began to grow childish.|The person named Benedykt Ossolinsky lived to be at least 39 years old. |0
129636e|Most major towns have handicraft stores like KL's Karyaneka on Jalan Raja Chulan, which act as a showcase for products from all over the peninsula and East Malaysia.|Handicraft stores are used to display products from different locations.|0
12058e|Fascist Italy and Nazi Germany backed Franco's Nationalists, while the Soviet Union supported the Republicans (although less and less towards the end of the war).|Italy and Germany took sides with Franco and the Soviet Union took sides with the Republicans.|0
144331e|The participating lawyers say Ginsburg, a diehard Red Sox fan known for his trademark bow ties, is tough to turn down.|Ginsburg is exceptionally tough to refuse according to the lawyers.|0
3567e|Glendalough is part of the Wicklow Mountains National Park, an area of about 20,000 hectares (49,421 acres), which includes most of upland Wicklow, with spectacular scenery, wildlife, and rare flora.|Glendalough is 20,000 hectares and has spectacular scenery.|0
33984e| Oh, listen, I was so pregnant during those years.|At the time, I was pregnant.|0
2211e|What if a foundering political campaign were the wacky premise for a failing TV show!|How about a failing TV show about a political campaign that's collapsing?|0
8679e|it was nice talking to you too and we'll probably be talking to you again okay okay bye-bye|It's likely we'll be speaking to you again.|0
38177e|South of Gezira is Roda Island, home to Manial Palace, now converted into an art gallery.|Roda Island is home to the palace.|0
5012e|The sum of national saving and saving borrowed from abroad represents the total amount of resources available for investment, that is, the purchase of capital goods-plant, equipment, software, houses,1 and inventories-by businesses and governments.|the goods needed by businesses and governments relies on the amount available resource for investment. |0
110758e|It was hard to see, since there was no electric lighting system now.|The view was hard to see due to the light.|0
139633e|The program's name is derived from the subparagraph of the Immigration and Nationality Act (INA) that defines the status, 8 U.S.C.|A description in the Immigration and Nationality Act forms the basis of the program's name.|0
30721e|These values do not reflect the adjustment for changes in real income over time that is included in the benefit valuations in our national benefits summaries.|These numbers do not show the adjustment for changes in real income over time.|0
11240e|If such evidence is present, return Kennewick Man to his rightful tribal reservation.|Bring Kennewick Man to his tribe if the evidence is valid.|0
122447e|Barr throws Molotov cocktails from the back benches, just as Gingrich once did.|Gingrich and Barr both have thrown Molotov cocktails from the back benches.|0
57374e|Political consultants have given the edge in this race to the candidate who best addresses concerns about education, economic development, and the security of those who depend on San Antonio's military bases.|The candidate most likely to win will be the one that addresses education reform, how to improve the economy and military security. |0
98548e|It is important to note that minimal interventions are not insignificant since they include, of necessity, an assessment of drinking behavior and a follow-up contact, and they are often much more than ordinarily occurs in the emergency setting.|It is important to realize that interventions are not superfluous.|0
