idx|Premise|Hypothesis|label
92884c|Over the years, Congress, EPA and the States have responded to specific environmental and public health problems by developing separate regulatory programs to address the specific problems.|Congress has never responded to a specific environmental problem.|1
1239c|For a number of years, some mailers have pursued the idea of establishing customized postal rates and/or terms of service through negotiation with the Postal Service.|Mailers have not pursued negotiations with the Postal Service for custom rates.|1
37549c|part part of the problem too i think up here is i mean um|It's clear that everything up here is working problem-free.|1
40299c|He went on to say that these clinics fill a critical need.|The clinic fails to fill any needs.|1
122605c|i think then that's a step away from even duty i don't think they even have a sense of the responsibility|I know they feel a lot of responsibility.|1
145990c|Steve Forbes placed second, Elizabeth Dole third, and Gary Bauer fourth.|Gary Bauer placed first, so Elizabeth Dole had to settle for the second place.|1
93386c|Clean coal technology regulatory incentives. |Clean coal is totally unregulated. |1
120984c|The artifacts that most people put at the top of their lists are on the second floor, so you may want to head there first before you get worn out.|The first floor is the best place to be for the most wanted artifacts. |1
20976c|For the past 20 years, attorney Richard M. Smith has helped senior citizens with their legal needs, free of charge.|Richard M Smith has never provided legal help to senior citizens free of charge.|1
70777c|as soon as i as soon as i can find me an ankle a good uh a good ankle brace i'm going to start playing some racquetball again but i'm not going out there with an unsupported ankle anymore|I will never play racquetball again. |1
42985c|Critics gush over the Met's exhibit of Renaissance paintings from the Netherlands.|Critics hate all paintings that have come from the Netherlands. |1
52094c|'I've got a plan.|I don't have a plan here.|1
16553c|One route to take in a good section of this picturesque terrain is to drive north (and up) from Funchal toward Santana on the north coast.|You should go south if you want to see the land.|1
117143c|The closest resort to the capital is Makriamos.|Markiamos is really far compared to other resorts in relation to the capital.|1
5792c|"I would unhesitatingly vouch for him.""Bayliss looked directly at Drew."|Bayliss back was to Drew.|1
10208c|you know if you're if you're just sitting on a nice hot lake|I don't think it'd be fun to be by the lake.|1
137149c|Newsweek 's regular issue is devoted to Americans at war.|Newsweek stopped having regular issues about five years ago, and moved to more consistent formats.|1
32577c|But what made them let us go? demanded Tuppence suspiciously.|Why are they still holding us captive? asked Tuppence.|1
90228c|We have also found these criteria useful since they are technology neutral (can be used regardless of the technology used to produce the signature) and allow for a variety of implementation methods, depending of the degree of risk associated with a given application.|No one found criteria useful for technology.|1
8260c|well they had the matter of fact i just watched uh Charles Heston this uh this weekend in the Ten Commandments|Charles Heston has never appeared on TV before.|1
62290c|"And knowing that, you'd still fight against repairing the sky?  ""Hatching is probably always horrible from inside the shell,"" Bork answered."|Bork is convinced that hatching is a very pleasant experience.|1
113980c|Rockefeller's addiction to living in an expensive realm of his own, for creating his own entourage, ultimately accounted for Gerald Ford's decision to toss Rockefeller overboard and pick Bob Dole as his running mate in 1976 (something that will presumably be discussed in Reich's next book).|Dole was chosen as Rockefeller's running mate.|1
79858c|Auditors should consider the results of previous audits and attestation engagements and follow up on known significant findings and recommendations that directly relate to the subject matter of the attestation engagement being undertaken.|Attestation engagements and audits are always unprepared, this is the reason why auditors need to research previous audits.|1
56220c|Tastefully refurbished, it can once again claim to be one of the finest avenues in the world.|After refurbishing, it still can't claim to be one of the finest world avenues. |1
23046c|If you're planning several visits, you might like to concentrate on just one section at a time ' the Italian, the French, the Spanish, the Flemish and Dutch, for example, but not forgetting the important sections devoted to ancient Egyptian, Greek, and Roman antiquities.|There are no antiques from Egypt on display.|1
120078c|Were we seeing it tonight?|Was it tomorrow we were seeing it?|1
94063c|i don't know if i could i could probably it depends on the crime my problem would be that like people to me the like the child people the people that's killing kids|I do not have a problem with people killing kids.|1
94340c|(The girl is so much like a fourth-rate porn actress that the audience assumes she was hired to help the boy become a man--but the punch line never comes.)|The woman was very conservative and it did not appear like she was going to make a sexual advance.|1
40901c|um-hum well i know in um i'm from Missouri and we always had pretty nice four seasons and and you know extreme we have some extreme weather in each season but um|Severe weather does not occur in Missouri.|1
12817c|two big cardboard boxes in the library where everybody goes to pick up their mail and they're uh one's for white paper and one's for colored paper so anything like manuscripts or computer paper or|The cardboard boxes are just outside the library.|1
31750c|And he did, and Jolanta changed noses every two days, because she couldn't make up her mind.|She liked the one nose and kept it forever. |1
101033c|Air Pollution and Morbidity  a Specification Test.|they linked air pollution rates and mortality|1
48993c|Do you have a set menu?|Do you have any cats?|1
82844c|Newsweek explains a new musical  Rock 'n' rap, a k a hick-hop, in which white performers such as Limp Bizkit and Kid Rock combine hard rock with the violent themes and outlaw imagery of rap.|Limp Bizkit and Kid Rock are the originators of pop rap.|1
21109c|Sunny rooms surround a central courtyard.|There is only one sunny room adjacent to the courtyard.|1
118929c|Agency officials authorized to perform administrative approvals are generally required to follow agency policies and procedures as opposed to statutory requirements and Treasury regulations followed by certifying officers.|Certifying officers and agency officials are required to follow the same set of operating procedures. |1
26240c|Why can't buying things be a pleasurable sideshow to the main events of life?|Buying things should be the main event in life.|1
2104c|well in the summer time so that the heat doesn't uh burn the grass|The grass freezes in the summer time.|1
99111c|Stephen Hargarten said that screening for alcohol applies not only to the potential for interventions, but also to the patient's overall quality of care, including safety from injury due to alcohol impairment or from alcohol withdrawal during the acute phase of treatment for medical or surgical conditions.|Stephen Hargaten said that screening for alcohol is not associated with patient's overall quality of care.|1
11836c|The modern unity of France was in the making.|France was not planning on being unified.|1
138141c|uh-huh because i think there're so many parts of the District where it's not very safe to get out and walk|I really love to go for walks in the District, it is the safest place to be any time of the day.|1
17447c|i just saw uh uh a really interesting movie called uh Flatliners|I could not get through half of Flatliners because it was boring.|1
136012c|Those who object to them seem closer to the mark in fearing that the scarves signal a rising fundamentalist opposition to the secular principles on which modern Turkey was founded.|Modern Turkey was founded on the backs of slavery and abortions.|1
142501c|"The man came and put it right on Tuesday morning."" With a long drawn exclamation of ecstasy, Poirot led the way back to the morning-room. "|The man came on Friday evening.|1
96831c|He spoke and they all listened.|Nobody listened to him.|1
97480c|We should not delay the public health and environmental benefits from reduction of these emissions while we wait for consensus to develop on CO2.|Public health benefits do not include no smoking and drinking and rooms.|1
