idx|Premise|Hypothesis|label
29933e|If that's censorship, so be it (Bill Reel, Newsday ). (Click here to read Jon Robin Baitz's take on the controversy in Slate 's Diary.|Let censorship be.|0
99711e|The train's interior was rickety.|I felt that the train's interior was poorly made and unsafe.|0
104456e|that's the most fascinating thing|That thing is extremely compelling. |0
991e|The example of loyalty and  When he had just taken over as the chairman of President Nixon's Council of Economic Advisers, he hired a young staff economist named Ron Hoffman (brother of Dustin Hoffman).|He hired Dustin Hoffman's brother to work under Nixon.|0
59602e|This trend toward building complete resorts is perhaps the best approach attempted in recent years, since it offers something for everyone.|Complete resorts have the ability to offer a wide range of services and experiences for just about anyone.|0
36606e|Our research was conducted from March through October 1999 and culminated in the issuance of an exposure draft in March 2000.|An exposure draft was issued in March 2000.|0
88061e|Leonardo's obsession with swirling water--which found scientific expression in the Codex|Codex explains why water swirls.|0
131687e|The road from Ambleside to Penrith (A592) runs along the length of the north shore.|Travelers between Ambleside and Penrith must use the road along the north shore.|0
30036e|they just hit a long way well i'm i'm getting better about hitting them straight but where i get into trouble is around the green|I hit the long ball well, but struggle around the green.|0
65742e|you know i know now|Finally, I know about it.|0
70546e|Is there a better racket than travel journalism?|Travel journalism is a great scam.|0
134226e|is that right inside your house like cactus gardens and the like|are there cactus gardens and stuff in your home|0
37035e|These revisions established importation criteria for certain animal and plant products based on the level of disease risk in specified geographical locations.|The revisions deal with importing animals.|0
84031e|That hit him harder than any other discovery.|This discovery hit him harder than any of the others.|0
135710e|The fires from the burning houses soon died down, painting the town in dark amber.|There were house fires that left the town a dark amber. |0
27093e|Table 1 displays a variety of mean route statistics for residential routes separated into quartiles based on their profit.|Table 1 shows statistical data separated based on financial information.|0
126263e|The grid cells are aggregated to estimate the health impact of the change in air quality across the study region.|The change in air quality is aggregated by the grid cells.|0
98296e|Falling demand for other things would necessarily result in falling prices for those things.|Falling demand means falling prices.|0
91284e|What should we have to do? she breathed.|She breathed and asked, What should we have to do?|0
120795e|Other alcoholic drinks that you might want to take home include branquinha (aguardente with a stick of sugarcane in the bottle), or a local liqueur such as licor de maracuj?¡ (passionfruit) or ginja (cherry liqueur).|Branquinha is an alcoholic drink with sugarcane in it.|0
133184e|let me  i'll hit it again just in case|I'll smack it once more just to be sure.|0
101036e|But the court-mandated castration proposed in Florida, California, and Montana raises serious problems.|The proposed mandatory castration in several states raises huge problems.|0
109901e|and the lyrics aren't as uh inspiring  if you want to call it that|The lyrics are not as stimulating.|0
137662e|So how often are judges actually as willful as Scalia claims they are?|How often are judges as scalia says they are |0
45130e|She was chagrined at The Nation 's recent publication of a column by conservative education activist Ron Unz arguing that liberal education reform has been an unmitigated failure.|She did not like the column by Ron Unz. |0
44842e|Pundits declared it a triumph of youth and racial progress, comparing Woods to Jackie Robinson (whose 50 th anniversary of breaking the color barrier is being celebrated simultaneously), Arthur Ashe, and Lee Elder (who became the first black golfer to play in the Masters in 1975, the same year Woods was born).|Pundits said that Woods showed the racial progress started by Jackie Robinson.|0
83549e|"Suddenly he heard Conrad's voice: ""Come out of it, Annette."|Conrad told Annette to come out of it.|0
53249e|Soon he felt Adrin's blade slap at his flank or pierce into his arm.|Soon after, he could feel the blade near his body. |0
7394e|At Tabgha is the Church of the Multiplication of the Loaves and Fishes, where it is said that Jesus fed the multitudes.|It is said that Jesus fed the multitudes in the Church of Multiplication of the Loaves and Fisihes at Tabgha.|0
67742e|Aliens may be victims of domestic violence, need assistance with divorce and custody matters, find themselves having to file bankruptcy, or require help applying for social security and unemployment benefits.|Aliens may be victims of domestic violence|0
109215e|And it's hard work to determine the success of mergers, because you have to compare the performance of the new company against the projected performance of the previously independent companies.|Hard work is what determines the success of mergers, you have to compare performance of the combined companies against projected performance of the once independent ones.|0
139012e|yeah there's not too many not too many big ones around here|Not very many big ones are in the area.|0
52747e|Table 6: Delivered Mail Revenue As Percent of Total Revenue|Table 6 involves the Total Revenue.|0
130334e|The Army discharged a 20-year decorated veteran one week before he would have been eligible for retirement benefits, because investigators discovered evidence of his homosexuality after an arsonist torched his home.|A gay 20 year old veteran's home was set on fire.|0
35608e|But it would not be inaccurate to describe a woman as a nebbish or as nebbishy.|A woman could be described as nebbish - timid or submissive.|0
16829e|Modern and efficient, the capital of Karnataka is a convenient gateway to the western half of the peninsula.|The capital of Karnataka is modern and efficient.|0
68592e|I took that liberty.|I took advantage of it.|0
132340e|big frying pan|large frying pan.|0
138346e|same here bye-bye|Same, good bye.|0
25990e|His corsairs became the scourge of the sea, the indiscriminate attacks leading to a diplomatic blow-up with the new American government.|They were in conflict with the new American government.|0
